id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
706327293950425109,Compartilhado Misto 2 pessoas,477415028,Rio 222,,Laranjeiras,-2.293.452,-4.318.583,Shared room,159,1,0,,,7,57
46937099,RECANTO JARDIM BOTÂNICO,107792699,Carlos Cruz,,Humaitá,-2.295.889,-432.035,Entire home/apt,15000,2,0,,,2,365
748978648830471163,Apto Barrashopping,16064460,Rômulo,,Barra da Tijuca,-23.003.200.224.177.800,-43.351.348.491.445.100,Entire home/apt,680,2,0,,,18,364
2897580,HUGE HOUSE - 1 up to 7 people,14809534,Rafael,,Santa Teresa,-2.293.971,-4.319.878,Private room,440,3,1,2018-01-30,0.02,1,364
16929156,"Spacious / quiet apartment, next to Flamengo Beach",113090579,Mônica,,Flamengo,-2.293.225,-4.317.659,Entire home/apt,237,2,42,2022-12-01,0.59,1,32
783854302441597118,Apto perto do Pão de Açúcar,13530643,Marcia,,Botafogo,-229.555,-4.317.486,Entire home/apt,240,1,0,,,1,355
22766250,Room at Chez Georges,111165788,Letícia,,Santa Teresa,-2.292.297,-4.318.531,Private room,1200,2,14,2022-04-13,0.24,8,344
42167916,Lindo quarto no coração de Botafogo.,249003418,Paulo Henrique,,Botafogo,-2.294.931,-4.318.994,Private room,856,3,0,,,11,365
784257253011689358,CopaHostel,820566,Adriano,,Copacabana,-2.297.368,-4.319.431,Private room,1120,1,0,,,5,365
14260416,APTO COM LAZER E SERV. EM FRENTE A PRAIA DA BARRA,86863878,Jorge,,Barra da Tijuca,-2.301.074,-4.332.246,Entire home/apt,1500,20,0,,,1,363
31287924,ROCK IN RJ -PARK OLÍMPICO-ARENA JEUNESSE 10,47584281,Renato,,Barra da Tijuca,-2.300.903,-4.343.234,Entire home/apt,550,1,6,2020-01-19,0.13,118,361
689765597876490315,In Rio - aconchegante e prático.,47584281,Renato,,Jacarepaguá,-2.297.187,-4.341.419,Entire home/apt,700,1,0,,,118,365
671084965652720611,"Double room in laranjeiras, Rio de Janeiro!",291849270,Livia,,Laranjeiras,-2.293.763.782.229.450,-4.318.321.041.762.820,Private room,226,2,1,2022-11-14,0.65,3,5
53495480,"Vem viver o verão carioca!
Rio!
Coração do Brasil",5748001,Evelyne,,Botafogo,-2.295.471,-4.317.962,Entire home/apt,300,7,2,2022-02-02,0.16,2,66
47952551,Urq101| Compact studio in Leblon,1982737,Estadia,,Leblon,-2.298.077.964.782.710,-43.224.998.474.121.000,Entire home/apt,1200,1,5,2022-09-12,0.43,107,262
777667,Extremely Calm 2B-Apt in Copacabana,2535917,Nathalie,,Copacabana,-2.296.667,-4.319.185,Entire home/apt,601,4,0,,,2,236
23148356,Alugo apartamento para temporadas,172049435,Rosangela,,Catete,-2.292.479,-4.318.141,Entire home/apt,379,3,8,2022-11-16,0.14,1,94
8541063,Single room in Lapa,44964787,José,,Centro,-2.291.592,-431.776,Shared room,120,10,0,,,1,364
46713068,Guilherme my house,61571618,Cesar,,Centro,-229.116,-4.317.709,Entire home/apt,269,11,10,2022-12-17,0.46,5,222
52962417,Apartamento aconchegante em Botafogo,93007085,Leonardo,,Botafogo,-2.294.332,-4.318.607,Entire home/apt,657,3,9,2022-12-02,0.75,1,112
29927878,MY BENETTI 106’,32429803,Milton,,Glória,-2.291.911,-4.316.877,Entire home/apt,45000,1,1,2022-05-15,0.13,7,362
18023097,CARNAVAL É AQUI NO RIO DE JANEIRO .,78153469,Cristiane,,Copacabana,-2.296.322,-4.317.972,Entire home/apt,300,10,1,2018-02-17,0.02,1,350
573163971634593902,Quarto mobiliado em apartamento aconchegante,429061660,Tom,,Humaitá,-2.295.879,-4.319.986,Private room,110,1,0,,,1,361
10804021,Cozy 1 bedroom apartment Humaita,36087102,Helena,,Humaitá,-2.295.428,-4.319.832,Entire home/apt,400,4,0,,,1,355
146402,Suite in a beautiful house-Lagoa/RJ,713797,Rosalia,,Humaitá,-2.296.148,-4.320.038,Private room,528,3,84,2022-11-14,0.64,2,322
